# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
This computer does not support this feature.;此计算机不支持此特性 。
PN Triangles subdivision tessellates the geometry and attempts to smooth the silhouette.;PN三角小区对几何结构进行分解,并试图平滑硅.
Sets the intensity of the PN Triangles effect, which tessellates geometry while smoothing the surface.;设置PN三角效应的强度,该效应在平滑表面时会分解几何.
Standard normal mapping for per-pixel lighting, with an additional detail normal map slot.;每像素照明的标准普通映射,并附加一个细节的普通映射槽.
A second normal map to provide additional detail.;提供更多细节的第二张普通地图.
The UV set that will be used for the micro detail normal map.;用于微细节普通地图的紫外线设定 。
Remaps vector data from the range [0,1] to [-1,1]. Disable this when using floating-point textures.;将矢量数据从[0]到[-1,1]范围重映. 使用浮点纹理时禁用 。
Inverts the content in the X axis, or red channel, of the texture.;反转纹理 X 轴中的内容,或红色通道。
Inverts the content in the Y axis, or green channel, of the texture.;倒置纹理的Y轴,或绿色通道中的内容.
Inverts the content in the Z axis, or blue channel, of the texture.;反转纹理的Z轴,或蓝色通道中的内容.
Sets the spacing for tiling of the detail normal map.;设置细节普通地图的平面间隔。
Shifts the detail normal map. This may be useful for avoiding repeating artifacts.;移动细节普通地图。 这可能有助于避免文物的重复。
The texture that will be used to set the intensity of the micro detail normal map.;用于设定微细节普通地图的强度的纹理 。
Determines which channel of the texture will be used for the detail normal weight map.;确定纹理的哪个通道将用于细节普通重量图。
Sets the intensity of the micro detail normal map.;设置微细节普通地图的强度。
Standard normal mapping for per-pixel lighting.;每像素照明的标准正常映射.
A texture map providing per-pixel surface normal vectors for additional lighting detail.;纹理图提供了每像素表面的正常矢量,用于额外的照明细节.
Generates the normal's Z coordinate from X and Y. This is generally useful for two-channel normal maps.;从X和Y生成正常的Z坐标. 这一般对双通道的普通地图有用.
The texture that will be used to define the depth of the parallax effect.;用于定义参数效应深度的纹理.
Sets the intensity of the parallax effect.;设置参数效果的强度。
Quality of the parallax effect.;准音效果的质量.
Radius of the bevel effect in millimeters.;以毫米计的贝效应的半径.
Limits the bevel effect to corners greater than this value in degrees.;将贝效应限制在大于此值的角上 。
Controls the quality of the bevel effect. Wider bevels benefit from more samples. This setting significantly affects rendering performance.;控制贝效应的质量。 大贝壳从更多的样品中获益. 此设置会严重影响渲染性能 。
When enabled the bevel effect is always applied to any hard edges.;当启用时,贝效应总是应用于任何硬边缘.
When enabled bevels are not applied at intersections with other meshes.;当启用的贝壳不应用在其他 meshes 的交叉处 。
Allows for masking bevel width by interpolated vertex color channel.;通过插孔顶点彩色通道允许遮盖贝绒宽度.
Determines whether or not the alpha channel of the albedo map is used for the transparency map.;确定是否将反照率图的α通道用于透明度图。
This texture is used to define the opacity of the material. White corresponds to full opacity while black denotes full transparency.;这种纹理用来定义材料的不透明度. 白色表示完全不透明,黑色表示完全透明。
Determines which channel of the texture will be used in the transparency map.;确定透明地图将使用哪条纹理通道。
Sets the opacity for the material. White corresponds to full opacity while black denotes full transparency.;设置材料的不透明性。 白色表示完全不透明,黑色表示完全透明。
Determines whether to use cutout or dither when cutting out the refraction material.;确定在剪除折射材料时是使用剪切还是切除。
Inverts the mask, useful when using a transparency map as a mask.;反转掩码,在使用透明映射作为掩码时有用.
Additive transparency adds specular lighting on top of other objects in the scene. This is useful for transparent materials like glass or reflective shells.;增加透明度在现场其他物体上方增加了光谱照明. 这对玻璃或反射壳等透明材料有用。
Sets the color of the additive tint effect.;设置添加剂锡效应的颜色。
Includes the diffuse contribution when using additive blending. This will typically result in a glowing or ghost-like appearance.;包括在使用添加剂混合时的散射作用。 这通常会导致发光或类似鬼的外表.
Cutout or alpha test is a simple method for defining transparent materials, which works as an on-or-off function.;Cutout或alpha测试是定义透明材料的简单方法,它起到在或关闭功能的作用.
Pixels with alpha values below this threshold will be clipped and not rendered, resulting in a hard "cut-out" border.;α值低于此阈值的像素会被剪切而不会渲染,从而形成一个硬的"剪切"边框.
Edit the current shader file.;编辑当前阴影文件 。
Reload the current custom shader file (Ctrl+Shift+C).;重新装入当前自定义的阴影文件(Ctrl+Shift+C).
Clear the reference to the current shader file.;清除当前阴影文件的引用 。
Create a new material.;创建新材料.
Duplicate the selected material.;复制选中的材料 。
Create a material from a preset.;从预设中创建材料 。
Apply the selected material to the selected scene object(s).;将选中的材料应用到选定的场景对象。
Delete the selected material or group.;删除选定的材料或组。
Import a material file from disk.;从磁盘导入一个材料文件 。
Export a material file to disk.;导出一个材料文件到磁盘 。
Material thumbnail size.;材料缩略图大小.
Create a new material group.;创建新材料组.
Sets the X axis 3D space position for the projection in relation to the material mesh(es).;设定与物质网格(s)相对应的投影的X轴3D空间位置。
Sets the Y axis 3D space position for the projection in relation to the material mesh(es).;设置 Y 轴 3D 空间位置,用于相对物质网格进行投影。
Sets the Z axis 3D space position for the projection in relation to the material mesh(es).;设置投影相对于材料网(s)的Z轴3D空间位置。
Sets the X axis 3D space size for the projection in relation to the material mesh(es).;设定相对于物质网格的投影的 X 轴 3D 空间大小。
Sets the Y axis 3D space size for the projection in relation to the material mesh(es).;设定与物质网格(s)相对应的投影的Y轴3D空间大小。
Sets the Z axis 3D space size for the projection in relation to the material mesh(es).;设定投影相对于材料网格(s)的Z轴3D空间大小。
Sets the X axis 3D space rotation for the projection in relation to the material mesh(es).;设定相对于物质网格(s)投影的X轴3D空间旋转.
Sets the Y axis 3D space rotation for the projection in relation to the material mesh(es).;设置 Y 轴的 3D 空间旋转,用于相对物质网格的投影。
Sets the Z axis 3D space rotation for the projection in relation to the material mesh(es).;设定投影相对于材料网格(s)的Z轴3D空间旋转.
Adjust the projection inside the viewport.;调整视野内的投影。
Finish adjusting the projection inside the viewport.;完成在视图端口内调整投影.
Reset the projection transform.;重置投影转换.
Select the channel of the map to be used for blending layers.;选择用于混合层的映射通道。
Adjust brightness.;调整亮度。
Adjust contrast.;调整对比度。
Remove mask.;删除面具。
Add mask.;增加口罩.
Mask used for blending layers.;混合层用的面具.
Select the mask used for blending layers.;选择用于混合层的遮罩。
Select the UV set used for blending layers.;选择用于混合层的紫外线集。
Height map used for blending layers.;用于混合层的高度图.
Channel of the height map used for blending layers.;用于混合层的高度图的通道.
Toggle layer visibility.;切换层可见度 。
Remove layer.;删除图层。
Add layer.;增加一层.
Expand this module.;扩展此模块 。
Collapse this module.;折叠此模块 。
Select a different shader model for this slot.;为此槽选择不同的阴影模型 。
Adjust the extra parameters for this texture map.;调整此纹理图的额外参数 。
Preview this texture map.;预览此纹理图 。
Preview this texture map in the viewport.;在视图中预览此纹理图 。
Edit with the content creation app associated with this file type.;与此文件类型相关的内容创建应用程序编辑 。
Reload this texture map.;重装此纹理图 。
Remove this texture map.;删除此纹理图 。
Sets whether this texture uses filtering. Disable for pixel art style textures where pixelation is desired.;设定此纹理是否使用过滤 。 禁用像素艺术风格的纹理 。
Sets the degree of anisotropic filtering applied to this texture. Higher values look better but may reduce performance.;设定适用于此纹理的异同位素过滤度。 较高的值看起来更好,但可能降低性能。
Adds an offset to the mipmap level. Useful for previewing the appearance of lower mipmap levels both in the viewport and the preview window.;向 mipmap 级别添加一个偏移。 用于预览视图端口和预览窗口中mipmap级别较低的显示.
Toggle display of the red channel.;切换显示红色通道 。
Toggle display of the green channel.;切换显示绿色通道 。
Toggle display of the blue channel.;切换蓝色频道显示 。
Toggle display of the alpha channel. Images will appear blended against a checkered background.;切换 Alpha 通道的显示 。 图像将会与剪切背景混合。
Determines whether or not you will be prompted to install new updates. If enabled, Toolbag will check for new versions every time it opens.;确定您是否会被提示安装新的更新。 如果启用, Toolbag 每次打开都会检查新版本 。
If enabled, the Toolbag window will load with the same position and size as it was when last closed.;如果启用, Toolbag 窗口将装入与上次关闭时相同的位置和大小 。
If enabled, you will be prompted to save any unsaved work when closing a scene.;如果启用, 您将会被提示在关闭一个场景时保存任何未保存的工作 。
Disabling this would remove these helpful little boxes. Pro-moves only.;拆掉这个可以移除这些有用的小盒子. 只主张动.
Runs an extra integrity check on the scene when an action is undone or redone. Also displays diagnostic data in the performance window.;当一个动作被撤销或重开时, 在现场进行额外的完整性检查 。 同时在性能窗口中显示诊断数据.
Selects whether, on startup, Toolbag will open a blank scene, the last opened scene, or the template scene.;选择启动时 Toolbag 会打开空白场景, 最后一个打开的场景, 还是模板场景 。
Determines whether new scenes are empty or created from the template scene.;确定新场景是空的还是从模板场景创建的。
Specifies the default directory for the skybox browser to use when Toolbag launches.;指定在 Toolbag 启动时用于天盒浏览器的默认目录。
Select a new default skybox browser directory.;选择一个新的默认天盒浏览器目录 。
Reset the default skybox browser directory to Toolbag's "sky" folder.;将默认的天盒浏览器目录重置为 Toolbag 的"sky"文件夹.
Enables enhanced tablet compatibility. This setting can sometimes solve issues with tablet input, and disables some mouse features.;启用增强的平板兼容性。 此设置有时可以通过平板输入解决问题,并禁用一些鼠标特性.
The default backend when using a digitizer, defaults to the latest available to your operating system.;使用数字化器时的默认后端,默认为您的操作系统可用的最新版本.
Selects the default baking mode for new bake projects.;为新烘焙项目选择默认烘焙模式。
Displays prompts to locate missing external files, such as textures and animations, during scene loads.;显示在场景加载时查找缺失的外部文件的提示,例如纹理和动画.
Displays prompts to locate missing external meshes during scene loads.;显示在场景加载时查找缺失外部网格的提示 。
Changed textures will be automatically reloaded when Toolbag regains focus.;改变的纹理将在 Toolbag 重拾焦点时自动重新装入.
Sets the tangent space that will be applied to meshes when imported. Choose the application that you most frequently use to bake normal maps.;设置导入时将应用于 meshes 的切换空间 。 选择您最常用来烘烤普通地图的应用程序 。
Newly created bake and texture projects will default to this tangent space handedness.;新创建的烘焙和纹理工程将默认为此切换空间的交接.
Model files will import along with any available material definitions, including textures and other parameters where available.;模型文件将连同任何现有的材料定义一起导入,包括纹理和其他现有参数。
Action that should be taken when materials import with a duplicate name to one currently in the scene.;在将重复名称的材料输入现场时应当采取的行动。
Determines which unit system to use for new scenes. This setting should match the unit setting in your 3D modeling application.;确定用于新场景的单位系统。 此设置应当匹配您三维模型应用程序中的单位设置 。
Sets the default directory where rendered images are saved when creating a new scene.;设定创建新场景时保存已渲染图像的默认目录 。
Determines whether or not the "Rendered in Marmoset Toolbag" watermark is enabled when creating a new scene.;确定创建新场景时是否启用“ 在 Marmoset Toolbag 中渲染的” 水印 。
Resets the Windows GPU timeout setting to the default of 2 seconds. This may negatively affect stability for complex scenes.;将 Windows GPU 的超时设置重置为默认2秒 。 这可能会对复杂场景的稳定产生不利影响。
Automatically update assets when a new version is available.;新版本可用时自动更新资产.
Path where first party library content is stored.;第一党图书馆内容存储路径 。
Path where user third party library content is stored.;用户第三方库内容存储路径 。
Automatically save a backup of your scene to the autosave folder at the specified time interval.;在指定的时间间隔中自动保存您的场景备份到自动保存文件夹 。
Creates autosave files in the same folder as your current scene. The Max Saves and Max Autosave Folder Size settings do not apply when this is option enabled.;在与当前场景相同的文件夹中创建自动保存文件 。 最大保存和最大自动保存文件夹大小设置在启用此选项时不适用 。
Determines how often autosaving occurs.;确定自动保存的频率。
Determines the folder that backups are saved in.;确定备份保存的文件夹。
Maximum amount of space the autosave folder can use. Older autosaves will be deleted when total size of the folder exceeds this value.;自动保存文件夹可使用的最大空间 。 当文件夹的总大小超过此值时, 旧自动保存将被删除 。
Determines whether the Maximum Autosave Folder Size is set in GBs (gigabytes) or MBs (megabytes).;确定最大自动保存文件夹大小是GBs(gigabytes)还是MB(megabytes).
Delete all files in the autosave folder.;删除自动保存文件夹中的所有文件 。
Open the autosave folder location using the file explorer.;使用文件探索器打开自动保存文件夹位置 。
The size of the autosave folder.;自动保存文件夹的大小 。
The location to which rendered images will be written. Specify either a directory or file name.;绘制图像的位置将被写入 。 指定目录或文件名称。
Browse for a file location for saving images.;浏览保存图像的文件位置 。
Sets the dimensions of the exported image, in pixels.;设置导出图像的尺寸,以像素为单位。
Sets the width of the exported image, in pixels.;设置导出图像的宽度,以像素为单位。
Sets the height of the exported image, in pixels.;设置导出图像的高度,以像素为单位。
Select from a variety of resolution presets.;从多种分辨率预设中选择。
Overwrites existing files with new renders. If this option is disabled, new renders will be given numbered file names.;用新 makes 覆盖已有文件 。 如果禁用此选项, 将给新 makes 以编号文件名 。
Sets the number of render samples per pixel. Higher values improve image quality but take longer to render.;设定每个像素的渲染样本数量。 更高的数值提高了图像质量,但需要更长的时间才能渲染出来。
Selects the file type of the exported image.;选择导出图像的文件类型。
Saves a transparency mask into the alpha channel of the exported image (where supported).;将透明掩码保存到导出图像的α通道( 支持的地方) 。
Performs noise reduction in the final image or video frame. This setting only takes effect with ray traced renders.;在最终图像或视频框中执行降噪. 此设定仅随射线追踪成像而生效 。
Noise reduction mode. GPU mode requires a supported NVIDIA graphics adapter.;降噪模式. GPU模式需要支持的NVIDIA图形适配器.
Noise reduction quality level.;降噪质量水平.
The location to which rendered animations will be written. Specify either a directory or file name.;制作动画的地点将被写入 。 指定目录或文件名称。
Browse for a file location for saving animations.;浏览保存动画的文件位置 。
Sets the dimensions of the exported animations, in pixels.;设置导出动画的尺寸, 像素。
Sets the width of the exported animation, in pixels.;设置导出动画的宽度, 以像素为单位。
Sets the height of the exported animation, in pixels.;设置导出动画的高度, 像素。
Selects an output format for the animation. Sequence formats will write a series of still images instead of a single video file.;选择动画的输出格式。 序列格式会写一系列静态图像,而不是一个单一的视频文件.
Video image quality (applies only to compressed video). Higher values will produce larger files that look better.;视频图像质量(仅适用于压缩视频). 更高的值将产生看起来更好的更大的文件.
Saves a transparency mask into the alpha channel of the exported image sequence. This is not supported with video files.;将透明遮罩保存到导出图像序列的α通道中。 这不支持视频文件 。
Automatically opens the resulting video file once the export is complete.;导出完成后自动打开生成的视频文件 。
File path to which your scene will be exported.;您的场景将被导出的文件路径 。
Browse for an export location.;浏览导出位置 。
Export models in the scene.;现场输出模型.
Export cameras in the scene.;在现场输出摄像头。
Export lights in the scene. Note: Toolbag uses its own units for lights, so brightness will look different in other applications.;现场输出灯光. 注意: Toolbag使用自己的单位进行照明,因此在其他应用中亮度会有所不同.
Export materials in the scene, converted to their closest equivalent.;出口现场的材料,转换为最接近的等效物.
Export skies in the scene. Note: Toolbag uses its own units for sky brightness, so skies will look different if converted to their closest equivalent.;在现场输出天空。 注意: Toolbag使用自己的单位进行天空亮度,因此如果转换到最接近的等效物,天空会显得不同.
Export other objects in the scene such as Baker Objects, Texture Project Objects, etc.;导出场景中的其他对象,如贝克对象,纹理项目对象等.
Embed textures in the export file. Depending on the format being exported this may not be possible.;在导出文件中嵌入纹理 。 这取决于所导出的格式。
Export normals from geometry in the scene.;从场景中的几何导出常态.
Export tangents from geometry in the scene.;从现场几何导出正切值.
Export all UV maps from geometry in the scene.;从现场几何导出所有紫外线地图 。
Export vertex colors from geometry in the scene.;从场景中的几何导出顶点颜色.
Export animations from the scene. Depending on the format being exported this may look different.;从现场输出动画. 视所导出的格式而定, 这可能看起来不同 。
Export geometry with subdivisions applied.;应用分区导出几何 。
Export geometry with displacement applied.;出口几何学并采用移位法。
Triangulate exported geometry.;三角输出几何.
Weld vertices for exported geometry.;用于输出几何的焊接顶点.
Determines whether referenced files such as textures will be bundled with this file, or retain their original paths.;确定是否将纹理等被引用文件与该文件捆绑在一起,或保留其原始路径。
Determines whether to overwrite, skip, or create a unique texture name in the case where the same file name exists at the export path.;确定是否在导出路径中存在同一文件名的情况下覆盖、跳过或创建独有的纹理名称。
Export only the objects that are currently selected.;只导出当前选中的对象 。
Give your scene a title! This will display in the viewer next to your work.;给你的场景一个标题! 这将显示在您作品旁边的观看器中 。
Your name or handle. This text will display in the viewer next to the title.;你的名字或手柄。 此文本将在标题旁边的查看器中显示 。
Title and author text will link to this URL, if one is set.;如果设置了标题和作者文本, 则会链接到此 URL 。
Export an animated scene. Animations from the active timeline range will be included.;导出一个动画场景 。 将列入活动时间范围动画。
Start playback immediately.;立即开始播放。
Allow access to playback controls for the exported scene.;允许对导出场景进行回放控制 。
Will automatically load and display the scene upon page load.;将自动加载并在页面加载时显示场景 。
Specifies the width of the viewer frame. This setting is ignored if the 'Full Frame' option is checked.;指定视图框的宽度。 如果选中“ 框架” 选项, 此设置将被忽略 。
Specifies the height of the viewer frame. This setting is ignored if the 'Full Frame' option is checked.;指定视图框的高度。 如果选中“ 框架” 选项, 此设置将被忽略 。
Uploads the current scene package to ArtStation.com.;将当前场景包上传至ArtStation.com.
Opens an in-browser preview of the current scene.;打开当前场景的浏览器预览 。
Cancels the export.;取消导出 。
Exports the Marmoset Viewer scene package to disk.;导出 Marmoset 查看器场景包到磁盘中 。
File path to which your glTF scene will be exported.;您的 glTF 场景将导出到的文件路径 。
Sets the quality of included textures, by adjusting compression levels and images sizes. Lower quality settings will often result in smaller file sizes.;通过调整压缩水平和图像大小,设定包含的纹理的质量. 质量较低的设置往往会导致文件大小较小.
Includes vertex colors where possible. glTF renders vertex colors as a multiplier on a material's base color.;尽可能包括顶点颜色。 glTF 使顶点颜色成为材料基色上的乘数.
Exports the glTF scene package to disk.;导出 glTF 场景包到磁盘 。
Sets the directory where rendered images are saved.;设置已保存图像的目录 。
Selects a camera for viewport and screenshot rendering.;选择用于视图和截图渲染的相机。
Edit the currently active camera.;编辑当前活动相机 。
Edit the current render settings.;编辑当前渲染设置 。
Select mode for visualizing material, bake, or texture project attributes in this viewport.;在此视图端口选择可视化材料,烘焙,或纹理工程属性的模式.
Speedy viewport mode. This disables various render features for a faster, more responsive viewport. (Ctrl+Shift+J);快速视港模式. 这样可以使各种功能成为更快,反应更灵敏的景点. (中文(简体) ).
Determines the behavior of selection outlines, where they can either be disabled, fade in, or be on perpetually.;确定选择大纲的行为,其中可以禁用、淡出或永久使用。
Determines if a viewport's position is independent, or if its position should be shared across multiple viewports.;确定一个景点的位置是独立的,还是应当通过多个景点共享其位置.
Determines if a viewport's scale is independent, or if its scale should be shared across multiple viewports.;确定一个景点的尺度是独立的,还是其尺度应该在多个景点之间共享.
Configure viewport settings.;配置视图设置 。
Bakes all active outputs and writes them to disk.;刻录所有活动输出并将其写入磁盘 。
Exports all active bake outputs to a single, layered PSD file.;将所有活跃的烘焙产出输出到一个分层的私营部门司文件。
Cancels any ongoing bakes.;取消任何正在进行的烘焙。
Creates a new bake group. Bake groups are useful for isolating groups of geometry from one another to prevent unwanted intersections.;创建新的烘焙组。 巴克组有助于将几何组相互隔离,防止不必要的交叉。
Toggles visibility of high-poly baker objects.;切换高Poly面包机物件的能见度.
Toggles visibility of low-poly baker objects.;切换低poly面包机对象的能见度.
Unified material preview, produces a single result material for all bake meshes when enabled.;统一材料预览,启用时会为所有烘焙网格产生单一结果材料.
Refreshes material assignments, repairing or updating as needed.;根据需要更新、修复或更新材料任务。
Removes any previews of baked maps displayed in the viewport.;删除视图中显示的烘焙地图的任何预览。
Loads a model (or models), and attempts automatic assignment to high and low polygon baker groups.;装入一个模型(或模型),并尝试自动指派给高低多边形面包师组.
Reloads any external mesh files, and assigns them as needed to high and low polygon baker groups.;重新装入任何外部网格文件,并按需要分配给高低多边形面包师组.
Removes any external mesh files from the baker.;从面包店中删除任何外部网格文件。
Automatically checks external mesh files for changes and reloads them as needed.;自动检查外部网格文件进行修改,并根据需要重新加载.
Meshes hidden in the outliner will be used for baking.;提纲中隐藏的梅舍斯将用于烘焙.
Mesh transforms, such as rotation and position, will be ignored for the purposes of baking.;网格变换,如旋转和位置,将为烘焙目的忽略.
Smooths low-poly mesh normals for the purposes of baking projection. This is generally helpful to avoid discontinuities along UV seams.;为烘焙投影目的平滑低孔网状常态. 这通常有助于避免紫外线接合线上的不连续。
Ignores the backsides of triangles on the high-poly mesh when baking. This is often useful for correctly baking crevices or floating geometry.;烘焙时忽略了高波力网面上三角形的背面. 这对于正确烘焙裂缝或浮动几何往往有用.
Attempts to fix any issues arising from mirrored tangent spaces in low poly meshes.;试图解决在低多层层的镜像正切空间所产生的任何问题。
Previews the baked map on the low-poly mesh in the viewport.;预览在景区低波网点上的烘焙地图.
Previews the baked map in the texture window.;预览纹理窗口中的烤制地图。
Edits the baked map.;编辑烤好的地图。
Edit the settings of this map.;编辑此地图的设置 。
Allows the baker to cast through materials that are transparent. Useful for superimposing different meshes on top of each other.;允许面包师通过透明材料投放. 用来在对方的顶部 制造不同的迷你药
Selects a tangent space convention for all meshes. This is equivalent to changing the same setting on each low-poly mesh in the bake project manually.;为所有 meshes 选择一个切合空间公约。 这相当于在烘焙项目中,在每一个低孔网格上手动改变相同的设置.
Determines whether the tile name will be added before or after the map name when creating the file on disk.;确定在磁盘上创建文件时,在地图名称之前或之后会添加瓷砖名称。
Determines the separator used between the tile name and the map name when creating the file on disk.;确定磁盘上创建文件时在瓷砖名称和地图名称之间使用的分隔符。
Enable or disable this tile.;启用或禁用此瓷砖 。
The suffix used when outputting the map file.;输出地图文件时使用的后缀.
Overrides the global soften setting, allowing a unique soften value for this map.;覆盖全局软化设置,为此映射提供了独特的软化值.
Applies a softening filter to the baked map. This value will override the global soften setting.;将软化过滤器应用到烤好的地图上. 此值将覆盖全球软化设置 。
Enable texture sets, a way of baking multiple maps based on unique materials applied to low polygon mesh(es).;启用纹理集,一种基于适用于低多边形网格(s)的独特材料的烘焙多幅地图的方法.
Output path for bake results. This path will be used in both multi-file and multi-layer PSD outputs.;烘焙结果输出路径 。 这一路径将用于多文件和多层次的私营部门司产出。
Width for all image outputs.;所有图像输出的宽度 。
Height for all image outputs.;所有图像输出的高度 。
Samples per pixel. Higher numbers may yield better quality for some outputs, but will greatly increase baking times.;样本每像素. 数量增加可能会提高某些产出的质量,但会大大增加烘烤时间。
Bit precision per color channel. Higher precision results in larger files, often with fewer banding artifacts.;每个彩色通道的位精度. 更精密的结果是文件数量较大,往往带宽的文物较少.
Pads the resulting outputs to fill empty areas of the UV layout. This is generally useful to prevent filtering or mipmapping artifacts along UV borders.;支持由此产生的输出以填补紫外线布局的空区域。 这通常有助于防止沿紫外线过滤或模仿文物。
Applies a softening filter to the baked surface. This can be useful for smoothing borders around floaters or other hard edges.;将软化过滤器应用到烤好的表面. 这可用于平滑浮标或其他硬边缘周围的边框.
Bake a tangent-space normal map. The normal orientations will match the tangent space selected for each low poly mesh.;刻录正弦空间正常地图 。 正常方向将匹配为每个低聚网所选择的切换空间.
Bake an object-space normal map.;Bake 对象空间正常映射.
Bake a tangent-space bent normal map where the normals will be oriented in the direction of least occlusion.;Bake 一张正弦空间弯曲的普通地图,其中的常态方向将是最小的闭塞。
Bake an object-space bent normal map where the normals will be oriented in the direction of least occlusion.;Bake 一种物体空间弯曲的普通地图,其中的正常方向是最小隐蔽。
Bake a height map.;烤一个高度图。
Bake a position gradient map.;标记一个位置梯度图 。
Bake a vertex color map.;烤一个顶点颜色图。
Bake a curvature map.;烤一个曲面图。
Bake a convex curvature map.;烧烤凸轮曲面图.
Bake a concave curvature map.;烧焦凸轮曲面图.
Bakes a thickness map for use in subsurface scattering materials.;制作厚度图,用于地下散射材料。
Bake an ambient occlusion map.;烧烤环境隔离图。
Bake a second ambient occlusion map, with separate settings.;Bake是第二张环境闭塞图,有单独的设置.
Bakes a diffuse lighting map with all visible lights in the scene.;制作一张散射照明图 里面有所有可见的灯光
Bakes a specular lighting map with all visible lights in the scene.;制作一张带有现场所有可见灯光的光谱图.
Bakes a complete map of all lighting, shadows, and material effects.;制成所有照明、阴影和物质效果的完整地图。
Bakes a map of diffuse and specular indirect lighting bounces.;制作一张散射和光谱间接照明的地图。
Bake a material ID map. Each color in this map corresponds to a different material assigned to the high poly mesh.;烧制一个材料 ID地图。 本地图中的每个颜色都对应指定给高聚网的不同材料.
Bake a Object ID map. Each color in this map corresponds to a different object assigned to the high poly mesh.;刻录对象标识图 。 此图中的每个颜色都对应指定给高多网格的不同对象.
Bake a Group ID map. Each color in this map corresponds to a different bake group assigned to the high poly mesh.;制作一个团体ID地图。 本地图中的每个颜色对应分配给高聚网的不同的烘焙组.
Bake a UV Island map. Each color in this map corresponds to a different UV island.;烤一个紫外岛地图。 本地图中的每一种颜色都对应不同的紫外线岛.
Bake an alpha mask based on the geometry of the high poly mesh.;基于高聚网的几何学的α面罩.
Bake a wireframe mesh overlay from the low poly mesh.;烤一个线框网膜从低多层网膜上覆盖.
Bake a composite emissive map from materials assigned to the high poly mesh.;制成从分配给高聚网的材料中发出的复合发射图。
Bake a composite alpha map from materials assigned to the high poly mesh.;烧焦来自高聚网材料的复合α图.
Reverse the X (red) axis on tangent space normal maps.;反转正空间正常地图上的X(红色)轴。
Reverse the Y (green) axis on tangent space normal maps.;反转当前空间正常地图上的 Y( 绿色) 轴 。
Reverse the Z (blue) axis on tangent space normal maps.;反转当前空间正常地图上的 Z (蓝色) 轴 。
Inner height map distance from the low poly mesh, in world units. This value maps to black in the height map.;内高度图距离低多网,以世界单位表示. 此值映射为高度图中的黑色 。
Outer height map distance from the low poly mesh, in world units. This value maps to white in the height map.;外高图距离低多网,以世界单位表示. 此值映射到高度图中的白色 。
The method by which you normalize position data.;您将定位数据正常化的方法 。
Sets the scale of the curvature output. Smoother meshes may require a higher strength value to make features clearly visible.;设置曲率输出的尺度。 平滑的中间体可能需要更高的强度值才能使特征清晰可见.
Determines the width of the curvature features.;确定曲面特征的宽度。
Sets the size of curvature highlights. Higher sharpness values give tighter, more distinct feature silhouettes but may obscure some details.;设置曲率亮度的大小。 较高的锐度值使特征更紧凑、更明显,但可能模糊一些细节。
Outputs UV island vector data as an additional SVG file.;输出紫外岛矢量数据作为额外的SVG文件.
When baking specular materials into metalness, specular values higher than this threshold will be treated as metal.;当将光谱材料制成金属时,高于这个阈值的光谱值将被作为金属处理.
Adjusts the brightness of the baked lighting.;调整烤光的亮度。
Limits the number of ray traced diffuse and specular light reflections. Higher values improve image quality but take longer to render.;限制射线跟踪扩散和光谱反射的数量。 更高的数值提高了图像质量,但需要更长的时间才能渲染出来。
Adjusts the strength of the denoising effect. A value of zero skips denoising altogether.;调整调试效果的强度。 零的值跳过全名。
Selects the type of indirect light to be included in the bake.;选择烘焙中要包含的间接光线类型。
Sample rays for each pixel of the map. Higher ray counts will result in higher quality, but will increase bake times.;地图每个像素的样本射线. 更高的射线计数会提高质量,但会增加烘烤时间.
Provides occlusion beneath the model, simulating a floor plane.;提供模型下的隐蔽,模拟地板平面.
Adjusts the strength of the floor occlusion effect, which simulates a plane beneath the model.;调整地板闭塞效应的强度,模拟模型下的平面.
Uses both sides of polygons for occlusion tests. This may cause areas of mesh intersection to become fully occluded if "Ignore Groups" is also enabled.;使用多边形的两侧进行隔离测试. 如果“无知组”也启用的话,这可能使网状交叉区域完全被占用。
Dithering adds subtle noise to 8-bit outputs to prevent banding.;抖音在8位输出中增加了微妙的噪音,以防止带宽.
The maximum distance a sample ray can travel. A setting of 0 results in unlimited distance.;样本射线可以旅行的最大距离. 设定 0 的结果无限距离。
Adjusts the scale of the thickness value range, as a proportion of the model bounds.;调整厚度值范围的比例。
Applies a gamma curve to the final color values. Use this if you prefer a higher-contrast appearance.;将伽玛曲线应用到最终的颜色值中. 如果你喜欢高调的外观,请使用这个.
Applies a gamma curve to the vertex color values. Use this setting if the vertex colors on your mesh are not linear values.;将伽马曲线应用到顶点的颜色值。 如果网格上的顶点颜色不是线性值,则使用此设置。
Includes vertex alpha values in the final result.;在最终结果中包括顶点α值。
Set the thickness of the wireframe being rendered.;设定正在渲染的线框的厚度 。
Set the color of the wireframe being rendered.;设置正在渲染的线框的颜色 。
Sets the relative vertex radius of the wireframe being rendered, 1.0 means it's the same radius as line thickness.;设定正在渲染的线框的相对顶点半径,1.0表示其与线条厚度相同的半径.
Displays the cage mesh offset in the viewport.;在视图中显示笼盖网格偏移。
Display the cage mesh skew directions in the viewport.;在景点中显示笼盖的网状方向。
